iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
1,2000,140,1.5269,0.1366,2.4914,6.223,0.0901,0.5,1.42,0.57,0.0,20.0,10,10,0,50,50,0,13107.0,0.03,0.0001,5287.0,,,,
2,2000,165,1.409,0.0173,2.5466,6.216,0.0479,0.43,1.28,0.06,0.0,83.0,49,34,0,59,41,0,3158.0,0.17,0.0001,21957.0,,,,
3,2000,181,1.3798,0.0165,2.5171,6.262,0.0349,0.39,1.24,0.06,0.0,69.0,34,35,0,49,51,0,3799.0,0.33,0.0001,32171.0,,,,
4,2000,197,1.38,0.0146,2.5426,6.323,0.0323,0.41,1.28,0.05,0.0,413.0,40,40,333,10,10,81,635.0,0.5,0.0001,32140.0,,,,
5,2000,214,1.4287,0.0346,2.5933,6.048,0.0258,0.33,1.26,0.08,0.0,123.0,69,45,9,56,37,7,2131.0,0.17,0.0001,32161.0,,,,
6,2000,230,1.3617,0.0126,2.5243,6.199,0.0261,0.37,1.24,0.03,0.0,113.0,37,38,38,33,34,34,2320.0,0.33,0.0001,32116.0,,,,
7,2000,246,1.3348,0.0111,2.4829,6.271,0.0292,0.4,1.22,0.03,0.0,84.0,19,33,32,23,39,38,3121.0,0.55,0.0001,32164.0,,,,
8,2000,263,1.332,0.0078,2.4887,6.254,0.0222,0.35,1.19,0.03,0.0,240.0,26,35,179,11,15,75,1092.0,0.78,0.0001,32156.0,,,,
9,2000,279,1.3563,0.0208,2.5099,6.004,0.0261,0.38,1.22,0.04,0.0,166.0,23,43,100,14,26,60,1579.0,0.65,0.0001,32121.0,,,,
10,2000,296,1.387,0.0088,2.5989,6.022,0.0203,0.31,1.25,0.02,0.0,201.0,49,65,87,24,32,43,1304.0,0.65,0.0001,32111.0,,,,
11,2000,312,1.3986,0.0038,2.6355,6.021,0.0186,0.29,1.28,0.01,0.0,197.0,53,84,60,27,43,30,1331.0,0.96,0.0001,32138.0,,,,
12,2000,328,1.3887,0.0008,2.6266,6.111,0.0187,0.29,1.25,0.01,0.0,304.0,29,104,171,10,34,56,862.0,1.16,0.0001,32125.0,,,,
13,2000,345,1.419,0.0028,2.6794,5.856,0.0169,0.26,1.26,0.01,0.0,219.0,49,128,42,22,58,19,1197.0,0.71,0.0001,32103.0,,,,
14,2000,361,1.3654,0.0028,2.5779,6.005,0.0182,0.31,1.27,0.01,0.0,190.0,37,86,67,19,45,35,1380.0,0.78,0.0001,32123.0,,,,
15,2000,378,1.3437,0.0029,2.538,6.071,0.0198,0.32,1.23,0.02,0.0,178.0,36,56,86,20,31,48,1473.0,0.9,0.0001,32134.0,,,,
16,2000,394,1.339,0.0029,2.5299,6.06,0.0208,0.34,1.21,0.02,0.0,175.0,42,39,94,24,22,54,1498.0,0.98,0.0001,32128.0,,,,
17,2000,410,1.3676,0.0032,2.5839,5.914,0.0193,0.3,1.25,0.02,0.0,219.0,52,53,114,24,24,52,1197.0,0.8,0.0001,32176.0,,,,
